,ID,Name,Reviews,Rating,Price
157,K_s6wVd2klNt_KqHxzGOow,Nightmare New York Haunted House,105,3.0,
158,0hqqAhQ8BhhOnehoNFL1CA,Fabian 8 Cinema,7,3.5,
159,1_X5o4iv9NjSNtzSWYKsZg,The Phantom of the Opera,396,4.5,
160,KVx7als6SysBgQHbjOOXsQ,Paper Mill Playhouse,62,4.0,$$
161,sdQyublskHudWXqxVEBIXw,The Lion King,552,4.5,
162,vj5Hy65rHj5Nljq044FrQQ,Soho Playhouse,47,4.0,
163,PAPudZ8mxV31zyDf6p7LMw,Murdered by the Mob Dinner Theater,88,3.5,$$
164,DgCsmJpg7X9IeLT24ENUQA,Astor Place Theatre,17,3.5,
165,F0EUMg7UwxLCQ0GFpX0dyg,9/11 Tribute Museum,258,4.5,
166,noujMiOizbAWyDw8LbiM8Q,Union Hall,653,4.0,$$
167,jXgl9QFaRN0eOpLAGP6Htg,Paradise Theater,12,3.0,$
168,KQwvqu2nzmC42P9eiSXnvQ,Prospect Park Bandshell,84,4.5,$
169,c8TfKT7NdTuwcBZatXHmzg,New York Transit Museum,405,4.5,
170,R8cG5rSdTZg1aB3KzGO_oA,DR2,12,4.0,
171,rOQxcAmXNipPqzYDT_hUpg,The Contenders,2,5.0,
172,Ia6ryVgeQ-49XCjKTuP9Kw,Theater 80 St Marks,48,4.5,
173,SXV--arxLkSJlNlIJ6QmqQ,Beacon Theatre,318,4.0,$$
174,_6dPTrm63RuzO6-1mBWbnw,Bow Tie Theater,3,2.0,
175,v512UO_Mb98rPkenTEInTA,Showcase Cinema de Lux Cross County,78,2.5,
176,OIRAlcAaep0aYJUxkaFGPA,Bergen County Players,9,4.0,
177,NtWWAxcqpZGmfuiQ268aSQ,The Shed,19,3.5,
178,EaWFaLCML3sCLguk6W09BA,Concourse Plaza Multiplex Cinemas,54,2.0,
179,wlh--oGA6hiM0ynS9nsKyw,Count Basie Theatre,87,3.5,$$
180,o7jLiokoHlGjy3JEXQXnIA,The Duke On 42nd Street,15,4.0,
181,zUdJ_I0YjzR60q-0ZO3MWg,Booth Theatre,87,4.0,
182,Wy010IeikcMCGxL-leLZFA,Brooklyn Museum,607,4.5,
183,NFvuZAULjlTWCcsWeI3mHw,Elinor Bunin Munroe Film Center,26,4.5,
184,zrbOwAqrYaOnMaBlMSaAaw,Mamaroneck Village of,1,5.0,
185,CS75s6VoV3EqkdF7GY-flA,Lyric Theatre,134,4.5,
186,FHXYSE3RWbrVfWBVu9qNtw,Hamilton the Musical,272,4.5,
187,eOONCSxg0eGnuNosvZOKLg,Cyclone Coaster,233,4.5,
188,Mf6txI5sAs9K7BE24Uazgw,House Of Wax,95,4.0,$$
189,VmrBO2M1v6yEdRqEVNTrsQ,Westside Theatre,58,4.0,
190,rJuODqB14GdLYnqC_ZkVwA,Vivian Beaumont Theater,80,4.5,
191,JOr11q2DKWezsDNTTTtS8A,Barclays Center,1021,3.5,$$$
192,os_tY89PoPg-HciTGzy3dg,The Wellmont Theater,188,3.5,$$
